GEO_TTL,State,ESTAB,EMP,EMPSZES_TTL,PAYANN,YEAR
Alabama,01,99251,1568111,All establishments,57448016,2010
Alabama,01,50113,96042,Establishments with 1 to 4 employees,3262347,2010
Alabama,01,20953,138569,Establishments with 5 to 9 employees,4197349,2010
Alabama,01,14005,188244,Establishments with 10 to 19 employees,5912838,2010
Alabama,01,9021,270606,Establishments with 20 to 49 employees,8808648,2010
Alabama,01,2824,194778,Establishments with 50 to 99 employees,6836604,2010
Alabama,01,1641,245705,Establishments with 100 to 249 employees,9228422,2010
Alabama,01,437,155187,Establishments with 250 to 499 employees,6301364,2010
Alabama,01,167,115231,Establishments with 500 to 999 employees,5028174,2010
Alabama,01,90,163749,"Establishments with 1,000 employees or more",7872270,2010
Alaska,02,19985,254734,All establishments,12821494,2010
Alaska,02,11476,18484,Establishments with 1 to 4 employees,969079,2010
Alaska,02,3804,25128,Establishments with 5 to 9 employees,1085478,2010
Alaska,02,2464,33122,Establishments with 10 to 19 employees,1486397,2010
Alaska,02,1429,42189,Establishments with 20 to 49 employees,1994382,2010
Alaska,02,447,30328,Establishments with 50 to 99 employees,1430507,2010
Alaska,02,255,39075,Establishments with 100 to 249 employees,1786602,2010
Alaska,02,63,22503,Establishments with 250 to 499 employees,1296231,2010
Alaska,02,30,18840,Establishments with 500 to 999 employees,1170284,2010
Alaska,02,17,25065,"Establishments with 1,000 employees or more",1602534,2010
Arizona,04,131849,2065224,All establishments,84030312,2010
Arizona,04,72283,118633,Establishments with 1 to 4 employees,4979763,2010
Arizona,04,24204,160756,Establishments with 5 to 9 employees,5285765,2010
Arizona,04,17162,232202,Establishments with 10 to 19 employees,7501874,2010
Arizona,04,11358,340145,Establishments with 20 to 49 employees,11555551,2010
Arizona,04,3748,256281,Establishments with 50 to 99 employees,9024841,2010
Arizona,04,2161,323311,Establishments with 100 to 249 employees,12879165,2010
Arizona,04,590,201217,Establishments with 250 to 499 employees,8172702,2010
Arizona,04,216,146517,Establishments with 500 to 999 employees,6576234,2010
Arizona,04,127,286162,"Establishments with 1,000 employees or more",18054417,2010
Arkansas,05,65158,965474,All establishments,33735110,2010
Arkansas,05,34161,61756,Establishments with 1 to 4 employees,2154746,2010
Arkansas,05,13463,88767,Establishments with 5 to 9 employees,2725987,2010
Arkansas,05,8770,117533,Establishments with 10 to 19 employees,3762348,2010
Arkansas,05,5660,169579,Establishments with 20 to 49 employees,5436273,2010
Arkansas,05,1721,117907,Establishments with 50 to 99 employees,3865891,2010
Arkansas,05,951,140323,Establishments with 100 to 249 employees,5033381,2010
Arkansas,05,282,98708,Establishments with 250 to 499 employees,3884514,2010
Arkansas,05,88,59758,Establishments with 500 to 999 employees,2415663,2010
Arkansas,05,62,111143,"Establishments with 1,000 employees or more",4456307,2010
California,06,849875,12536402,All establishments,635620368,2010
California,06,480145,806579,Establishments with 1 to 4 employees,41404656,2010
California,06,151396,1000457,Establishments with 5 to 9 employees,38047268,2010
